label,alpha,min_gap,exact,f1,changed,changed_orig_incorrect_new_correct,changed_orig_correct_new_incorrect,changed_orig_incorrect_new_incorrect,changed_orig_correct_new_correct,time_sec
top2,0.3,0.05,84.00189214758751,90.86245298713179,545,107,136,209,93,0.8089511394500732
top2,0.3,0.1,83.4247871333964,90.65079926020024,835,158,248,271,158,0.8058469295501709
top2,0.3,0.15,82.91390728476821,90.40968657662846,1095,200,344,310,241,0.804318904876709
top2,0.3,0.2,82.37464522232735,90.20396525995454,1291,225,426,332,308,0.8052079677581787
top2,0.3,0.25,81.7123935666982,89.95316971179963,1479,240,511,355,373,0.8056070804595947
top2,0.4,0.05,84.00189214758751,90.86245298713179,545,107,136,209,93,0.7889652252197266
top2,0.4,0.1,83.4247871333964,90.65079926020024,835,158,248,271,158,0.7919719219207764
top2,0.4,0.15,82.91390728476821,90.40968657662846,1095,200,344,310,241,0.8053312301635742
top2,0.4,0.2,82.37464522232735,90.20396525995454,1291,225,426,332,308,0.802422046661377
top2,0.4,0.25,81.7123935666982,89.95316971179963,1479,240,511,355,373,0.8126628398895264
top2,0.5,0.05,84.399243140965,91.03768335840938,55,14,1,40,0,0.8203368186950684
top2,0.5,0.1,84.399243140965,91.03768335840938,55,14,1,40,0,0.7890539169311523
top2,0.5,0.15,84.399243140965,91.03768335840938,55,14,1,40,0,0.7955880165100098
top2,0.5,0.2,84.399243140965,91.03768335840938,55,14,1,40,0,0.7945981025695801
top2,0.5,0.25,84.399243140965,91.03768335840938,55,14,1,40,0,0.8025879859924316
top2,0.6,0.05,84.27625354777673,90.92640705981044,0,0,0,0,0,0.7763667106628418
top2,0.6,0.1,84.27625354777673,90.92640705981044,0,0,0,0,0,0.7724547386169434
top2,0.6,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.7833609580993652
top2,0.6,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.7931528091430664
top2,0.6,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.8102409839630127
