label,alpha,min_gap,exact,f1,changed,changed_orig_incorrect_new_correct,changed_orig_correct_new_incorrect,changed_orig_incorrect_new_incorrect,changed_orig_correct_new_correct,time_sec
top2,0.3,0.05,84.07757805108798,90.80310382244521,521,112,133,189,87,0.23008298873901367
top2,0.3,0.1,83.55723746452223,90.66382836660688,803,163,239,246,155,0.2357470989227295
top2,0.3,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.23810100555419922
top2,0.3,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.23590993881225586
top2,0.3,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.23410892486572266
top2,0.4,0.05,84.07757805108798,90.80310382244521,521,112,133,189,87,0.2272939682006836
top2,0.4,0.1,83.55723746452223,90.66382836660688,803,163,239,246,155,0.2269611358642578
top2,0.4,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.22982192039489746
top2,0.4,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.23380708694458008
top2,0.4,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.23559880256652832
top2,0.5,0.05,84.36140018921476,91.0042424484311,46,13,4,29,0,0.22713303565979004
top2,0.5,0.1,84.36140018921476,91.0042424484311,46,13,4,29,0,0.22754406929016113
top2,0.5,0.15,84.36140018921476,91.0042424484311,46,13,4,29,0,0.22780179977416992
top2,0.5,0.2,84.36140018921476,91.0042424484311,46,13,4,29,0,0.22933721542358398
top2,0.5,0.25,84.36140018921476,91.0042424484311,46,13,4,29,0,0.23911190032958984
top2,0.6,0.05,84.27625354777673,90.92640705981044,0,0,0,0,0,0.23042774200439453
top2,0.6,0.1,84.27625354777673,90.92640705981044,0,0,0,0,0,0.23207402229309082
top2,0.6,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.22858500480651855
top2,0.6,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.22881102561950684
top2,0.6,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.23005890846252441
top3,0.3,0.05,83.59508041627247,90.59786749230096,565,105,177,193,90,0.34483814239501953
top3,0.3,0.1,82.62062440870388,90.24934876438404,888,147,322,263,156,0.3495368957519531
top3,0.3,0.15,81.68401135288552,89.80344457202494,1158,182,456,306,214,0.35770702362060547
top3,0.3,0.2,80.93661305581836,89.46722860616867,1362,202,555,340,265,0.34541797637939453
top3,0.3,0.25,80.17975402081362,89.17944145246209,1549,217,650,364,318,0.3470909595489502
top3,0.4,0.05,83.81267738883633,90.68016337573383,512,103,152,171,86,0.335709810256958
top3,0.4,0.1,83.08420056764427,90.41383259289928,797,145,271,232,149,0.33573102951049805
top3,0.4,0.15,82.33680227057711,90.0667563199202,1028,178,383,264,203,0.3392751216888428
top3,0.4,0.2,81.68401135288552,89.78340260796683,1206,198,472,288,248,0.35141515731811523
top3,0.4,0.25,81.02175969725639,89.53331437890333,1370,210,554,308,298,0.3569469451904297
top3,0.5,0.05,84.13434247871334,90.8305776506241,386,87,102,121,76,0.344088077545166
top3,0.5,0.1,83.91674550614948,90.78949301929188,563,122,160,155,126,0.3461282253265381
top3,0.5,0.15,83.72753074739829,90.68373746841253,696,148,206,170,172,0.3437209129333496
top3,0.5,0.2,83.45316934720908,90.56841475529784,791,163,250,176,202,0.34815430641174316
top3,0.5,0.25,83.18826868495742,90.464510264157,875,169,284,185,237,0.3486442565917969
top3,0.6,0.05,84.21948912015137,90.93053047099093,289,69,75,76,69,0.3373880386352539
top3,0.6,0.1,84.13434247871334,90.9395137706271,410,96,111,92,111,0.34073710441589355
top3,0.6,0.15,83.97350993377484,90.84690655654403,494,108,140,99,147,0.3458678722381592
top3,0.6,0.2,83.78429517502366,90.77683208366618,542,114,166,99,163,0.35021376609802246
top3,0.6,0.25,83.65184484389782,90.74796018819067,588,116,182,102,188,0.3488640785217285
