label,alpha,min_gap,exact,f1,changed,changed_orig_incorrect_new_correct,changed_orig_correct_new_incorrect,changed_orig_incorrect_new_incorrect,changed_orig_correct_new_correct,time_sec
top2,0.3,0.05,84.00189214758751,90.86245298713179,545,107,136,209,93,0.6821520328521729
top2,0.3,0.1,83.4247871333964,90.65079926020024,835,158,248,271,158,0.6067769527435303
top2,0.3,0.15,82.91390728476821,90.40968657662846,1095,200,344,310,241,0.5955967903137207
top2,0.3,0.2,82.37464522232735,90.20396525995454,1291,225,426,332,308,0.6015288829803467
top2,0.3,0.25,81.7123935666982,89.95316971179963,1479,240,511,355,373,0.583812952041626
top2,0.4,0.05,84.00189214758751,90.86245298713179,545,107,136,209,93,0.5738260746002197
top2,0.4,0.1,83.4247871333964,90.65079926020024,835,158,248,271,158,0.5704691410064697
top2,0.4,0.15,82.91390728476821,90.40968657662846,1095,200,344,310,241,0.5844821929931641
top2,0.4,0.2,82.37464522232735,90.20396525995454,1291,225,426,332,308,0.5864481925964355
top2,0.4,0.25,81.7123935666982,89.95316971179963,1479,240,511,355,373,0.5834472179412842
top2,0.5,0.05,84.399243140965,91.03768335840938,55,14,1,40,0,0.5612101554870605
top2,0.5,0.1,84.399243140965,91.03768335840938,55,14,1,40,0,0.5868721008300781
top2,0.5,0.15,84.399243140965,91.03768335840938,55,14,1,40,0,0.5721688270568848
top2,0.5,0.2,84.399243140965,91.03768335840938,55,14,1,40,0,0.58132004737854
top2,0.5,0.25,84.399243140965,91.03768335840938,55,14,1,40,0,0.5694320201873779
top2,0.6,0.05,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5667028427124023
top2,0.6,0.1,84.27625354777673,90.92640705981044,0,0,0,0,0,0.576693058013916
top2,0.6,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5708620548248291
top2,0.6,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5837759971618652
top2,0.6,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5678708553314209
top3,0.3,0.05,83.04635761589404,90.4346701004248,714,109,239,256,110,0.5842788219451904
top3,0.3,0.1,81.759697256386,89.94368565421,1104,156,422,341,185,0.5746550559997559
top3,0.3,0.15,80.49195837275307,89.38391956014165,1455,201,601,390,263,0.5812280178070068
top3,0.3,0.2,79.3282876064333,88.87489556111593,1721,222,745,432,322,0.5866689682006836
top3,0.3,0.25,78.23084200567644,88.39273759874753,1966,240,879,457,390,0.5910029411315918
top3,0.4,0.05,83.2639545884579,90.51424118435132,646,100,207,231,108,0.630479097366333
top3,0.4,0.1,82.15704824976348,90.08325067041051,1006,148,372,304,182,0.5759611129760742
top3,0.4,0.15,81.0406811731315,89.57322879827178,1330,190,532,347,261,0.588792085647583
top3,0.4,0.2,80.02838221381268,89.13096235448836,1572,210,659,384,319,0.5915138721466064
top3,0.4,0.25,79.0728476821192,88.7197955882712,1793,226,776,406,385,0.5880892276763916
top3,0.5,0.05,84.02081362346263,90.88505651348198,416,78,105,151,82,0.5699701309204102
top3,0.5,0.1,83.66130558183538,90.78978333073506,621,118,183,182,138,0.5715441703796387
top3,0.5,0.15,83.34910122989594,90.64142662934262,784,143,241,200,200,0.5800518989562988
top3,0.5,0.2,82.99905392620624,90.50459439246255,907,157,292,212,246,0.582118034362793
top3,0.5,0.25,82.68684957426679,90.40394879607427,1014,166,334,220,294,0.5830109119415283
top3,0.6,0.05,84.12488174077578,90.90480893213616,290,60,76,77,77,0.5633668899536133
top3,0.6,0.1,83.91674550614948,90.86468630167889,438,91,129,93,125,0.5677018165588379
top3,0.6,0.15,83.79375591296122,90.827436799615,551,110,161,106,174,0.5804622173309326
top3,0.6,0.2,83.65184484389782,90.76582496915367,609,117,183,108,201,0.58284592628479
top3,0.6,0.25,83.48155156102176,90.72001846828567,666,118,202,109,237,0.583118200302124
top5,0.3,0.05,82.16650898770104,89.94778665839064,793,90,313,303,87,0.6205558776855469
top5,0.3,0.1,80.34058656575213,89.11327035503267,1241,132,548,405,156,0.5875892639160156
top5,0.3,0.15,78.43897824030275,88.2113368854754,1644,167,784,478,215,0.5915591716766357
top5,0.3,0.2,76.80227057710502,87.3844664428371,1959,185,975,532,267,0.5911622047424316
top5,0.3,0.25,75.04257332071901,86.56205505463849,2247,198,1174,565,310,0.6785488128662109
top5,0.4,0.05,82.639545884579,90.16233365788094,704,87,260,267,90,0.5716638565063477
top5,0.4,0.1,81.19205298013244,89.49431107333524,1098,128,454,355,161,0.7052762508392334
top5,0.4,0.15,79.72563859981078,88.77822849981033,1445,165,646,413,221,0.7106380462646484
top5,0.4,0.2,78.4484389782403,88.11394393123778,1711,182,798,455,276,0.836449146270752
top5,0.4,0.25,76.95364238410596,87.4090516756764,1968,195,969,483,321,0.8417329788208008
top5,0.5,0.05,83.67076631977294,90.71891456055373,511,93,157,171,90,0.5770230293273926
