Label         Alpha  MinGap     Exact        F1   Changed
---------------------------------------------------------
top2           0.30    0.05     84.00     90.86       545
top2           0.30    0.10     83.42     90.65       835
top2           0.30    0.15     82.91     90.41      1095
top2           0.30    0.20     82.37     90.20      1291
top2           0.30    0.25     81.71     89.95      1479
top2           0.40    0.05     84.00     90.86       545
top2           0.40    0.10     83.42     90.65       835
top2           0.40    0.15     82.91     90.41      1095
top2           0.40    0.20     82.37     90.20      1291
top2           0.40    0.25     81.71     89.95      1479
top2           0.50    0.05     84.40     91.04        55
top2           0.50    0.10     84.40     91.04        55
top2           0.50    0.15     84.40     91.04        55
top2           0.50    0.20     84.40     91.04        55
top2           0.50    0.25     84.40     91.04        55
top2           0.60    0.05     84.28     90.93         0
top2           0.60    0.10     84.28     90.93         0
top2           0.60    0.15     84.28     90.93         0
top2           0.60    0.20     84.28     90.93         0
top2           0.60    0.25     84.28     90.93         0
top3           0.30    0.05     83.05     90.43       714
top3           0.30    0.10     81.76     89.94      1104
top3           0.30    0.15     80.49     89.38      1455
top3           0.30    0.20     79.33     88.87      1721
top3           0.30    0.25     78.23     88.39      1966
top3           0.40    0.05     83.26     90.51       646
top3           0.40    0.10     82.16     90.08      1006
top3           0.40    0.15     81.04     89.57      1330
top3           0.40    0.20     80.03     89.13      1572
top3           0.40    0.25     79.07     88.72      1793
top3           0.50    0.05     84.02     90.89       416
top3           0.50    0.10     83.66     90.79       621
top3           0.50    0.15     83.35     90.64       784
top3           0.50    0.20     83.00     90.50       907
top3           0.50    0.25     82.69     90.40      1014
top3           0.60    0.05     84.12     90.90       290
top3           0.60    0.10     83.92     90.86       438
top3           0.60    0.15     83.79     90.83       551
top3           0.60    0.20     83.65     90.77       609
top3           0.60    0.25     83.48     90.72       666
top5           0.30    0.05     82.17     89.95       793
top5           0.30    0.10     80.34     89.11      1241
top5           0.30    0.15     78.44     88.21      1644
top5           0.30    0.20     76.80     87.38      1959
top5           0.30    0.25     75.04     86.56      2247
top5           0.40    0.05     82.64     90.16       704
top5           0.40    0.10     81.19     89.49      1098
top5           0.40    0.15     79.73     88.78      1445
top5           0.40    0.20     78.45     88.11      1711
top5           0.40    0.25     76.95     87.41      1968
top5           0.50    0.05     83.67     90.72       511
top5           0.50    0.10     83.08     90.49       755
top5           0.50    0.15     82.60     90.25       969
top5           0.50    0.20     82.06     90.00      1113
top5           0.50    0.25     81.53     89.80      1238
top5           0.60    0.05     83.97     90.84       342
top5           0.60    0.10     83.80     90.84       491
top5           0.60    0.15     83.62     90.77       600
top5           0.60    0.20     83.49     90.71       660
top5           0.60    0.25     83.35     90.68       698
