=== Preparing candidates for top2 (predictions/candidates/predictions_with_2_acc2.json) ===
  → prepared 10570 entries
[top2] α=0.30, gap<0.05 → exact= 84.00 f1= 90.86 changed=  545 (+107/-136) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.7s]
[top2] α=0.30, gap<0.10 → exact= 83.42 f1= 90.65 changed=  835 (+158/-248) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.30, gap<0.15 → exact= 82.91 f1= 90.41 changed= 1095 (+200/-344) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.30, gap<0.20 → exact= 82.37 f1= 90.20 changed= 1291 (+225/-426) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.30, gap<0.25 → exact= 81.71 f1= 89.95 changed= 1479 (+240/-511) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.40, gap<0.05 → exact= 84.00 f1= 90.86 changed=  545 (+107/-136) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.40, gap<0.10 → exact= 83.42 f1= 90.65 changed=  835 (+158/-248) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.40, gap<0.15 → exact= 82.91 f1= 90.41 changed= 1095 (+200/-344) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.40, gap<0.20 → exact= 82.37 f1= 90.20 changed= 1291 (+225/-426) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.40, gap<0.25 → exact= 81.71 f1= 89.95 changed= 1479 (+240/-511) best_f1= 90.86 (top2, α=0.30, gap<0.05) [0.6s]
[top2] α=0.50, gap<0.05 → exact= 84.40 f1= 91.04 changed=   55 (+14/-1) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.50, gap<0.10 → exact= 84.40 f1= 91.04 changed=   55 (+14/-1) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.50, gap<0.15 → exact= 84.40 f1= 91.04 changed=   55 (+14/-1) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.50, gap<0.20 → exact= 84.40 f1= 91.04 changed=   55 (+14/-1) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.50, gap<0.25 → exact= 84.40 f1= 91.04 changed=   55 (+14/-1) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.60, gap<0.05 → exact= 84.28 f1= 90.93 changed=    0 (+0/-0) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.60, gap<0.10 → exact= 84.28 f1= 90.93 changed=    0 (+0/-0) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.60, gap<0.15 → exact= 84.28 f1= 90.93 changed=    0 (+0/-0) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.60, gap<0.20 → exact= 84.28 f1= 90.93 changed=    0 (+0/-0) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top2] α=0.60, gap<0.25 → exact= 84.28 f1= 90.93 changed=    0 (+0/-0) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]

=== Preparing candidates for top3 (predictions/candidates/predictions_with_3_acc2.json) ===
  → prepared 10570 entries
[top3] α=0.30, gap<0.05 → exact= 83.05 f1= 90.43 changed=  714 (+109/-239) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.30, gap<0.10 → exact= 81.76 f1= 89.94 changed= 1104 (+156/-422) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.30, gap<0.15 → exact= 80.49 f1= 89.38 changed= 1455 (+201/-601) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.30, gap<0.20 → exact= 79.33 f1= 88.87 changed= 1721 (+222/-745) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.30, gap<0.25 → exact= 78.23 f1= 88.39 changed= 1966 (+240/-879) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.40, gap<0.05 → exact= 83.26 f1= 90.51 changed=  646 (+100/-207) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.40, gap<0.10 → exact= 82.16 f1= 90.08 changed= 1006 (+148/-372) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.40, gap<0.15 → exact= 81.04 f1= 89.57 changed= 1330 (+190/-532) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.40, gap<0.20 → exact= 80.03 f1= 89.13 changed= 1572 (+210/-659) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.40, gap<0.25 → exact= 79.07 f1= 88.72 changed= 1793 (+226/-776) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.50, gap<0.05 → exact= 84.02 f1= 90.89 changed=  416 (+78/-105) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.50, gap<0.10 → exact= 83.66 f1= 90.79 changed=  621 (+118/-183) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.50, gap<0.15 → exact= 83.35 f1= 90.64 changed=  784 (+143/-241) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.50, gap<0.20 → exact= 83.00 f1= 90.50 changed=  907 (+157/-292) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.50, gap<0.25 → exact= 82.69 f1= 90.40 changed= 1014 (+166/-334) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.60, gap<0.05 → exact= 84.12 f1= 90.90 changed=  290 (+60/-76) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.60, gap<0.10 → exact= 83.92 f1= 90.86 changed=  438 (+91/-129) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.60, gap<0.15 → exact= 83.79 f1= 90.83 changed=  551 (+110/-161) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.60, gap<0.20 → exact= 83.65 f1= 90.77 changed=  609 (+117/-183) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top3] α=0.60, gap<0.25 → exact= 83.48 f1= 90.72 changed=  666 (+118/-202) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]

=== Preparing candidates for top5 (predictions/candidates/predictions_with_5_acc2.json) ===
  → prepared 10570 entries
[top5] α=0.30, gap<0.05 → exact= 82.17 f1= 89.95 changed=  793 (+90/-313) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.30, gap<0.10 → exact= 80.34 f1= 89.11 changed= 1241 (+132/-548) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.30, gap<0.15 → exact= 78.44 f1= 88.21 changed= 1644 (+167/-784) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.30, gap<0.20 → exact= 76.80 f1= 87.38 changed= 1959 (+185/-975) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.30, gap<0.25 → exact= 75.04 f1= 86.56 changed= 2247 (+198/-1174) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.7s]
[top5] α=0.40, gap<0.05 → exact= 82.64 f1= 90.16 changed=  704 (+87/-260) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.40, gap<0.10 → exact= 81.19 f1= 89.49 changed= 1098 (+128/-454) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.7s]
[top5] α=0.40, gap<0.15 → exact= 79.73 f1= 88.78 changed= 1445 (+165/-646) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.7s]
[top5] α=0.40, gap<0.20 → exact= 78.45 f1= 88.11 changed= 1711 (+182/-798) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.8s]
[top5] α=0.40, gap<0.25 → exact= 76.95 f1= 87.41 changed= 1968 (+195/-969) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.8s]
[top5] α=0.50, gap<0.05 → exact= 83.67 f1= 90.72 changed=  511 (+93/-157) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.50, gap<0.10 → exact= 83.08 f1= 90.49 changed=  755 (+132/-258) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.50, gap<0.15 → exact= 82.60 f1= 90.25 changed=  969 (+169/-346) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.50, gap<0.20 → exact= 82.06 f1= 90.00 changed= 1113 (+181/-415) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.50, gap<0.25 → exact= 81.53 f1= 89.80 changed= 1238 (+191/-481) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.60, gap<0.05 → exact= 83.97 f1= 90.84 changed=  342 (+66/-98) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.60, gap<0.10 → exact= 83.80 f1= 90.84 changed=  491 (+97/-147) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.60, gap<0.15 → exact= 83.62 f1= 90.77 changed=  600 (+115/-184) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.60, gap<0.20 → exact= 83.49 f1= 90.71 changed=  660 (+121/-204) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]
[top5] α=0.60, gap<0.25 → exact= 83.35 f1= 90.68 changed=  698 (+121/-219) best_f1= 91.04 (top2, α=0.50, gap<0.05) [0.6s]

Plain table written to results/hparam_search_top2_3_5_biencoder.txt

=== SUMMARY TABLE (sorted by F1 desc) ===
Label         Alpha  MinGap     Exact        F1   Changed
---------------------------------------------------------
top2           0.50    0.05     84.40     91.04        55
top2           0.50    0.10     84.40     91.04        55
top2           0.50    0.15     84.40     91.04        55
top2           0.50    0.20     84.40     91.04        55
top2           0.50    0.25     84.40     91.04        55
top2           0.60    0.05     84.28     90.93         0
top2           0.60    0.10     84.28     90.93         0
top2           0.60    0.15     84.28     90.93         0
top2           0.60    0.20     84.28     90.93         0
top2           0.60    0.25     84.28     90.93         0
top3           0.60    0.05     84.12     90.90       290
top3           0.50    0.05     84.02     90.89       416
top3           0.60    0.10     83.92     90.86       438
top2           0.30    0.05     84.00     90.86       545
top2           0.40    0.05     84.00     90.86       545
top5           0.60    0.05     83.97     90.84       342
top5           0.60    0.10     83.80     90.84       491
top3           0.60    0.15     83.79     90.83       551
top3           0.50    0.10     83.66     90.79       621
top5           0.60    0.15     83.62     90.77       600
top3           0.60    0.20     83.65     90.77       609
top3           0.60    0.25     83.48     90.72       666
top5           0.50    0.05     83.67     90.72       511
top5           0.60    0.20     83.49     90.71       660
top5           0.60    0.25     83.35     90.68       698
top2           0.30    0.10     83.42     90.65       835
top2           0.40    0.10     83.42     90.65       835
top3           0.50    0.15     83.35     90.64       784
top3           0.40    0.05     83.26     90.51       646
top3           0.50    0.20     83.00     90.50       907
top5           0.50    0.10     83.08     90.49       755
top3           0.30    0.05     83.05     90.43       714
top2           0.30    0.15     82.91     90.41      1095
top2           0.40    0.15     82.91     90.41      1095
top3           0.50    0.25     82.69     90.40      1014
top5           0.50    0.15     82.60     90.25       969
top2           0.30    0.20     82.37     90.20      1291
top2           0.40    0.20     82.37     90.20      1291
top5           0.40    0.05     82.64     90.16       704
top3           0.40    0.10     82.16     90.08      1006
top5           0.50    0.20     82.06     90.00      1113
top2           0.30    0.25     81.71     89.95      1479
top2           0.40    0.25     81.71     89.95      1479
top5           0.30    0.05     82.17     89.95       793
top3           0.30    0.10     81.76     89.94      1104
top5           0.50    0.25     81.53     89.80      1238
top3           0.40    0.15     81.04     89.57      1330
top5           0.40    0.10     81.19     89.49      1098
top3           0.30    0.15     80.49     89.38      1455
top3           0.40    0.20     80.03     89.13      1572
top5           0.30    0.10     80.34     89.11      1241
top3           0.30    0.20     79.33     88.87      1721
top5           0.40    0.15     79.73     88.78      1445
top3           0.40    0.25     79.07     88.72      1793
top3           0.30    0.25     78.23     88.39      1966
top5           0.30    0.15     78.44     88.21      1644
top5           0.40    0.20     78.45     88.11      1711
top5           0.40    0.25     76.95     87.41      1968
top5           0.30    0.20     76.80     87.38      1959
top5           0.30    0.25     75.04     86.56      2247
