label,alpha,min_gap,exact,f1,changed,changed_orig_incorrect_new_correct,changed_orig_correct_new_incorrect,changed_orig_incorrect_new_incorrect,changed_orig_correct_new_correct,time_sec
top2,0.3,0.05,84.07757805108798,90.80310382244521,521,112,133,189,87,0.6356937885284424
top2,0.3,0.1,83.55723746452223,90.66382836660688,803,163,239,246,155,0.57781982421875
top2,0.3,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.6207702159881592
top2,0.3,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.5773239135742188
top2,0.3,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.5742592811584473
top2,0.4,0.05,84.07757805108798,90.80310382244521,521,112,133,189,87,0.570936918258667
top2,0.4,0.1,83.55723746452223,90.66382836660688,803,163,239,246,155,0.5820028781890869
top2,0.4,0.15,83.15988647114474,90.46565615788556,1032,204,322,279,227,0.5825059413909912
top2,0.4,0.2,82.65846736045411,90.27984811245682,1205,226,397,299,283,0.6923468112945557
top2,0.4,0.25,82.09082308420057,90.1009484539141,1365,238,469,319,339,0.598862886428833
top2,0.5,0.05,84.36140018921476,91.0042424484311,46,13,4,29,0,0.5608587265014648
top2,0.5,0.1,84.36140018921476,91.0042424484311,46,13,4,29,0,0.5758640766143799
top2,0.5,0.15,84.36140018921476,91.0042424484311,46,13,4,29,0,0.5678608417510986
top2,0.5,0.2,84.36140018921476,91.0042424484311,46,13,4,29,0,0.5684161186218262
top2,0.5,0.25,84.36140018921476,91.0042424484311,46,13,4,29,0,0.5734279155731201
top2,0.6,0.05,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5687580108642578
top2,0.6,0.1,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5778200626373291
top2,0.6,0.15,84.27625354777673,90.92640705981044,0,0,0,0,0,0.58194899559021
top2,0.6,0.2,84.27625354777673,90.92640705981044,0,0,0,0,0,0.5689501762390137
top2,0.6,0.25,84.27625354777673,90.92640705981044,0,0,0,0,0,0.6108160018920898
top3,0.3,0.05,83.59508041627247,90.59786749230096,565,105,177,193,90,0.5860769748687744
top3,0.3,0.1,82.62062440870388,90.24934876438404,888,147,322,263,156,0.5673818588256836
top3,0.3,0.15,81.68401135288552,89.80344457202494,1158,182,456,306,214,0.5735669136047363
top3,0.3,0.2,80.93661305581836,89.46722860616867,1362,202,555,340,265,0.5709230899810791
top3,0.3,0.25,80.17975402081362,89.17944145246209,1549,217,650,364,318,0.5781629085540771
top3,0.4,0.05,83.81267738883633,90.68016337573383,512,103,152,171,86,0.5628697872161865
top3,0.4,0.1,83.08420056764427,90.41383259289928,797,145,271,232,149,0.5647218227386475
top3,0.4,0.15,82.33680227057711,90.0667563199202,1028,178,383,264,203,0.5674440860748291
top3,0.4,0.2,81.68401135288552,89.78340260796683,1206,198,472,288,248,0.5687587261199951
top3,0.4,0.25,81.02175969725639,89.53331437890333,1370,210,554,308,298,0.5751919746398926
top3,0.5,0.05,84.13434247871334,90.8305776506241,386,87,102,121,76,0.5688760280609131
top3,0.5,0.1,83.91674550614948,90.78949301929188,563,122,160,155,126,0.5649347305297852
top3,0.5,0.15,83.72753074739829,90.68373746841253,696,148,206,170,172,0.5691828727722168
top3,0.5,0.2,83.45316934720908,90.56841475529784,791,163,250,176,202,0.5671148300170898
top3,0.5,0.25,83.18826868495742,90.464510264157,875,169,284,185,237,0.5673320293426514
top3,0.6,0.05,84.21948912015137,90.93053047099093,289,69,75,76,69,0.5629923343658447
top3,0.6,0.1,84.13434247871334,90.9395137706271,410,96,111,92,111,0.5661959648132324
top3,0.6,0.15,83.97350993377484,90.84690655654403,494,108,140,99,147,0.6256022453308105
top3,0.6,0.2,83.78429517502366,90.77683208366618,542,114,166,99,163,0.5688869953155518
top3,0.6,0.25,83.65184484389782,90.74796018819067,588,116,182,102,188,0.5806808471679688
top5,0.3,0.05,83.48155156102176,90.47323495702233,588,113,197,199,79,0.6039431095123291
top5,0.3,0.1,82.37464522232735,90.0093397035763,930,162,363,265,140,0.5627000331878662
top5,0.3,0.15,81.32450331125828,89.53229509240882,1197,195,507,311,184,0.568295955657959
top5,0.3,0.2,80.44465468306528,89.1117059946397,1399,212,617,340,230,0.5660028457641602
top5,0.3,0.25,79.47019867549669,88.66818461343641,1590,225,733,363,269,0.5686719417572021
top5,0.4,0.05,83.79375591296122,90.6486328910779,496,100,151,169,76,0.5506942272186279
top5,0.4,0.1,83.02743614001892,90.35955296661922,774,145,277,221,131,0.5487947463989258
top5,0.4,0.15,82.35572374645223,90.06047747967553,984,176,379,255,174,0.554675817489624
top5,0.4,0.2,81.68401135288552,89.73151416456713,1139,191,465,272,211,0.5585808753967285
top5,0.4,0.25,81.07852412488174,89.46757977893947,1276,201,539,290,246,0.5561738014221191
top5,0.5,0.05,84.12488174077578,90.82678746629776,402,92,108,123,79,0.5468711853027344
top5,0.5,0.1,83.69914853358561,90.6906900261979,595,129,190,151,125,0.547745943069458
top5,0.5,0.15,83.41532639545885,90.55733669950588,740,157,248,169,166,0.5539751052856445
top5,0.5,0.2,83.11258278145695,90.4053864783949,838,171,294,178,195,0.5601241588592529
top5,0.5,0.25,82.77199621570483,90.2624113596977,922,177,336,185,224,0.5529830455780029
top5,0.6,0.05,84.19110690633869,90.87557739194438,303,75,84,83,61,0.5479648113250732
top5,0.6,0.1,83.96404919583728,90.8202263754431,433,102,135,95,101,0.5508182048797607
top5,0.6,0.15,83.90728476821192,90.78906199317407,512,120,159,101,132,0.551447868347168
top5,0.6,0.2,83.76537369914854,90.7383067198549,555,125,179,103,148,0.5536909103393555
top5,0.6,0.25,83.71807000946073,90.7156361811011,584,129,188,104,163,0.5567870140075684
