Label         Alpha  MinGap     Exact        F1   Changed
---------------------------------------------------------
top2           0.30    0.05     84.08     90.80       521
top2           0.30    0.10     83.56     90.66       803
top2           0.30    0.15     83.16     90.47      1032
top2           0.30    0.20     82.66     90.28      1205
top2           0.30    0.25     82.09     90.10      1365
top2           0.40    0.05     84.08     90.80       521
top2           0.40    0.10     83.56     90.66       803
top2           0.40    0.15     83.16     90.47      1032
top2           0.40    0.20     82.66     90.28      1205
top2           0.40    0.25     82.09     90.10      1365
top2           0.50    0.05     84.36     91.00        46
top2           0.50    0.10     84.36     91.00        46
top2           0.50    0.15     84.36     91.00        46
top2           0.50    0.20     84.36     91.00        46
top2           0.50    0.25     84.36     91.00        46
top2           0.60    0.05     84.28     90.93         0
top2           0.60    0.10     84.28     90.93         0
top2           0.60    0.15     84.28     90.93         0
top2           0.60    0.20     84.28     90.93         0
top2           0.60    0.25     84.28     90.93         0
top3           0.30    0.05     83.60     90.60       565
top3           0.30    0.10     82.62     90.25       888
top3           0.30    0.15     81.68     89.80      1158
top3           0.30    0.20     80.94     89.47      1362
top3           0.30    0.25     80.18     89.18      1549
top3           0.40    0.05     83.81     90.68       512
top3           0.40    0.10     83.08     90.41       797
top3           0.40    0.15     82.34     90.07      1028
top3           0.40    0.20     81.68     89.78      1206
top3           0.40    0.25     81.02     89.53      1370
top3           0.50    0.05     84.13     90.83       386
top3           0.50    0.10     83.92     90.79       563
top3           0.50    0.15     83.73     90.68       696
top3           0.50    0.20     83.45     90.57       791
top3           0.50    0.25     83.19     90.46       875
top3           0.60    0.05     84.22     90.93       289
top3           0.60    0.10     84.13     90.94       410
top3           0.60    0.15     83.97     90.85       494
top3           0.60    0.20     83.78     90.78       542
top3           0.60    0.25     83.65     90.75       588
top5           0.30    0.05     83.48     90.47       588
top5           0.30    0.10     82.37     90.01       930
top5           0.30    0.15     81.32     89.53      1197
top5           0.30    0.20     80.44     89.11      1399
top5           0.30    0.25     79.47     88.67      1590
top5           0.40    0.05     83.79     90.65       496
top5           0.40    0.10     83.03     90.36       774
top5           0.40    0.15     82.36     90.06       984
top5           0.40    0.20     81.68     89.73      1139
top5           0.40    0.25     81.08     89.47      1276
top5           0.50    0.05     84.12     90.83       402
top5           0.50    0.10     83.70     90.69       595
top5           0.50    0.15     83.42     90.56       740
top5           0.50    0.20     83.11     90.41       838
top5           0.50    0.25     82.77     90.26       922
top5           0.60    0.05     84.19     90.88       303
top5           0.60    0.10     83.96     90.82       433
top5           0.60    0.15     83.91     90.79       512
top5           0.60    0.20     83.77     90.74       555
top5           0.60    0.25     83.72     90.72       584
